"codmpio","ano","monetary_poverty_rate","extreme_monetary_poverty_rate","gini_coefficient"
NA,NA,NA,NA,NA
1001,2002,49.7,17.7,0.57
5001,2002,36.5,8,0.55
5000,2002,47.9,17.8,0.59
8000,2002,50.1,12.4,0.53
8001,2002,43.9,8.7,0.53
11001,2002,31.7,7.1,0.57
13000,2002,64.9,29.8,0.53
13001,2002,47.5,9.4,0.48
15001,2002,NA,NA,NA
15000,2002,67.1,39.2,0.6
17001,2002,36.6,7.2,0.49
17000,2002,46.1,12.9,0.51
18001,2002,NA,NA,NA
18000,2002,53,21.7,0.53
19000,2002,57.8,24.2,0.52
19001,2002,NA,NA,NA
20000,2002,61.9,19.2,0.46
20001,2002,NA,NA,NA
23001,2002,47.9,9.2,0.52
23000,2002,65.6,31.6,0.55
25000,2002,51.4,18.7,0.48
27001,2002,NA,NA,NA
27000,2002,67.6,32.4,0.57
41000,2002,69.6,35.2,0.54
41001,2002,NA,NA,NA
44001,2002,NA,NA,NA
44000,2002,67.2,31.1,0.48
47000,2002,65.5,24,0.5
47001,2002,NA,NA,NA
50000,2002,39.8,13.2,0.5
50001,2002,34.4,7.6,0.47
52000,2002,65.7,33.1,0.57
52001,2002,44.2,10.6,0.51
54001,2002,52.9,11.2,0.48
54000,2002,56.6,16.6,0.49
63000,2002,47.1,13.1,0.5
63001,2002,NA,NA,NA
66001,2002,32.7,4.2,0.48
66000,2002,37.6,7.3,0.51
68001,2002,33.7,6.1,0.48
68000,2002,45,16.6,0.53
70000,2002,69.2,28.8,0.5
70001,2002,NA,NA,NA
73000,2002,54.3,19.9,0.52
73001,2002,37.7,8.4,0.48
76001,2002,33.5,6.2,0.53
76000,2002,38.9,8.9,0.52
81001,2002,NA,NA,NA
81000,2002,NA,NA,NA
85000,2002,NA,NA,NA
85001,2002,NA,NA,NA
86000,2002,NA,NA,NA
86001,2002,NA,NA,NA
88000,2002,NA,NA,NA
91001,2002,NA,NA,NA
91000,2002,NA,NA,NA
94001,2002,NA,NA,NA
94000,2002,NA,NA,NA
95000,2002,NA,NA,NA
95001,2002,NA,NA,NA
97000,2002,NA,NA,NA
97001,2002,NA,NA,NA
99001,2002,NA,NA,NA
99000,2002,NA,NA,NA
99000,2003,NA,NA,NA
99001,2003,NA,NA,NA
